keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note,score,uniqueness,new_rank
保育園 求人 出し続けている 理由,C11_採用側・選考突破【中核】,100,Know,A,Low,低,9,推定/根拠:『常時募集＝離職率のシグナル』。採用側の実態解説で独占可能【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,1
保育園 離職率 調べ方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,10,推定/根拠:現況報告書・財務諸表など公開一次情報の読み方。競合ほぼ不在【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,2
保育士 人材紹介 手数料 園 負担,C11_採用側・選考突破【中核】,100,Know,A,Low,低,11,推定/根拠:相場は理論年収の30〜35%（年収350万で約105〜122万円）。求職者向けに解説した記事はほぼ皆無＝空白地帯。【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,47.77,2.0,3
保育士 履歴書 転職回数 多い 書き方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,18,推定/根拠:短期離職の見せ方。採用側の許容ラインを語れるのは決裁者のみ【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,4
保育士 志望動機 人間関係が理由,C11_採用側・選考突破【中核】,100,Do,A,Low,低,47,推定/根拠:本音→建前の言い換えは事例判断型でAIが弱い。悩み層と選考層の結節点,47.77,2.0,5
保育士 採用 年齢 何歳まで,C11_採用側・選考突破【中核】,100,Know,A,Low,低,49,推定/根拠:採用側の本音領域。40-50代層の不安に直接答えられる,47.77,2.0,6
保育士 採用されやすい人 特徴,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,47.77,2.0,7
保育士 求人票 見方 チェックポイント,C11_採用側・選考突破【中核】,100,Know,A,Low,低,8,推定/根拠:求人票の裏の読み方。園長が書く前提で独自性が最大化【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,8
保育士 直接応募 メリット デメリット,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,47.77,2.0,9
保育士 直接応募 紹介 どっち,C11_採用側・選考突破【中核】,100,Know,A,Low,低,12,推定/根拠:比較意思決定型でAI耐性高。【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,10
保育士 紹介会社 経由 不利,C11_採用側・選考突破【中核】,100,Know,A,Low,低,13,推定/根拠:SERPは紹介会社の自社メディアのみでポジショントーク。中立解説の空白。【利益相反フラグ:紹介会社送客収益と主張が衝突しうる。中立記述＋収益導線の設計を別途協議】,47.77,2.0,11
保育士 退職理由 人間関係 伝え方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,47.77,2.0,12
保育士 面接 保育観 答え方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,50,推定/根拠:『保育観の不一致』が不採用理由の中核（複数メディアが言及）。深掘り余地大【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,13
保育士 面接 採用 決め手,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,47.77,2.0,14
保育士 面接 残業 聞き方,C11_採用側・選考突破【中核】,100,Do,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,15
保育士 面接 給料 聞いていい,C11_採用側・選考突破【中核】,100,Know,A,Low,低,48,推定/根拠:通説は『見学時に給与を聞くな』。園長として反論・条件付き肯定ができる差別化KW【P2重点:30代・経験5年以上・失敗回避層】,47.77,2.0,16
保育士 面接 落ちる人 特徴,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:選考直前KW。SERPは人材紹介の自社メディアばかり＝採用決裁者の一次情報で差別化可能,47.77,2.0,17
保育士 面接 逆質問 ng,C11_採用側・選考突破【中核】,100,Know,A,Low,低,,推定/根拠:NG事例は採用側しか断定できない。園長監修の独自性が最も出る型,47.77,2.0,18
保育園 見学 断られた,C11_採用側・選考突破【中核】,50,Know,A,Low,低,,推定/根拠:見学を断る園の内情は決裁者しか書けない。ブラック判定シグナルと接続,41.61,2.0,19
